time_s,v_m_s,omega_rad_s,clearance_m
0.000000000000000000e+00,1.000000000000000000e+00,-9.673733973499558658e-01,1.945507645834372079e+00
1.000000000000000056e-01,9.999999999998038236e-01,-7.944488758523614580e-01,1.860928828089490672e+00
2.000000000000000111e-01,9.999999999999740208e-01,-8.190205918854013278e-01,1.782752727603452048e+00
3.000000000000000444e-01,1.000000000000000000e+00,-7.992384871050394191e-01,1.712559816768282728e+00
4.000000000000000222e-01,9.999999999999997780e-01,-7.059314238886215120e-01,1.651706441815905757e+00
5.000000000000000000e-01,9.999999999999997780e-01,-1.838616617710028267e-01,1.600847921400526674e+00
6.000000000000000888e-01,1.000000000000000000e+00,6.633024580138739967e-01,1.556427490273735392e+00
7.000000000000000666e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.511213370671896206e+00
8.000000000000000444e-01,2.349577281053878419e-01,1.000000000000000000e+00,1.499271499248896244e+00
9.000000000000000222e-01,9.999999879071261866e-01,4.985203321235786578e-01,1.442922393607548814e+00
1.000000000000000000e+00,9.999999993489233630e-01,-1.080984336497111883e-02,1.387199880115898232e+00
1.100000000000000089e+00,9.999999955656774242e-01,-3.345938568507439426e-02,1.336740791196247669e+00
1.200000000000000178e+00,1.000000000000000000e+00,-1.760088899191658909e-02,1.292368150370598379e+00
1.300000000000000044e+00,1.000000000000000000e+00,-8.276717451423835220e-03,1.254579407715657124e+00
1.400000000000000133e+00,9.999999953639630013e-01,2.427794942867754404e-03,1.223894847058617286e+00
1.500000000000000000e+00,9.999999892477869912e-01,1.047351990515385176e-03,1.200754130622355476e+00
1.600000000000000089e+00,9.999999967404332724e-01,1.439095755750408566e-02,1.185612788005212526e+00
1.700000000000000178e+00,9.999999892216919761e-01,1.878519994601841533e-02,1.178645726097109936e+00
1.800000000000000044e+00,9.999999968790171945e-01,2.059059479747812199e-02,1.179953884089880223e+00
1.900000000000000133e+00,1.000000000000000000e+00,3.290605888454832539e-02,1.189109259379769856e+00
2.000000000000000000e+00,1.000000000000000000e+00,3.057795735238616475e-02,1.199968309119587184e+00
2.100000000000000089e+00,1.000000000000000000e+00,3.085430736986416109e-02,1.210523337199772564e+00
2.200000000000000178e+00,9.999999980147090684e-01,3.014046562725352166e-02,1.220771495963172804e+00
2.300000000000000266e+00,9.999999988056351707e-01,2.922796109643508236e-02,1.230719790908387345e+00
2.400000000000000355e+00,1.000000000000000000e+00,2.683551193405026014e-02,1.240377214096925584e+00
2.500000000000000000e+00,9.999999999449824539e-01,3.098036317957901867e-02,1.249767502062100410e+00
2.600000000000000089e+00,1.000000000000000000e+00,3.351457641612005933e-02,1.258849310736197324e+00
2.700000000000000178e+00,1.000000000000000000e+00,3.808203964313712497e-02,1.267597308256620092e+00
2.800000000000000266e+00,9.999999997591598744e-01,3.531376418251803290e-02,1.275965882821490149e+00
2.900000000000000355e+00,9.999999998933793988e-01,4.634891691621476073e-02,1.283982507034254539e+00
3.000000000000000000e+00,1.000000000000000000e+00,4.903584238944097562e-02,1.291537049361970668e+00
3.100000000000000089e+00,9.999999999902472458e-01,5.464069307182639612e-02,1.298602545667531860e+00
3.200000000000000178e+00,1.000000000000000000e+00,6.704343237913386322e-02,1.305122897852846631e+00
3.300000000000000266e+00,1.000000000000000000e+00,8.463954224752584521e-02,1.310974100881112880e+00
3.400000000000000355e+00,1.000000000000000000e+00,9.145974082557346840e-02,1.315980159117137394e+00
3.500000000000000000e+00,1.000000000000000000e+00,1.141472093862518494e-01,1.320072570043435700e+00
3.600000000000000089e+00,1.000000000000000000e+00,1.506394986573070804e-01,1.323024223293348456e+00
3.700000000000000178e+00,1.000000000000000000e+00,2.252327280123528619e-01,1.324695358683060764e+00
3.800000000000000266e+00,1.000000000000000000e+00,2.452208600908166169e-01,1.329499605689646646e+00
3.900000000000000355e+00,1.000000000000000000e+00,3.485719428254064889e-01,1.339334876803446317e+00
4.000000000000000000e+00,1.000000000000000000e+00,4.137257784952500517e-01,1.353068835388989255e+00
4.100000000000000533e+00,9.999999999999941158e-01,5.279061297185695389e-01,1.369930501644835097e+00
4.200000000000000178e+00,1.000000000000000000e+00,5.375514588297689578e-01,1.388665931101492834e+00
4.299999999999999822e+00,9.999999999999849010e-01,7.020846994532087271e-01,1.409055623265686563e+00
4.400000000000000355e+00,1.000000000000000000e+00,7.364375059433897475e-01,1.429375946331892688e+00
4.500000000000000000e+00,9.999999999999995559e-01,6.039747123731959988e-01,1.449197720140430690e+00
4.600000000000000533e+00,9.999999999999997780e-01,1.772047063433477287e-01,1.469724445838892279e+00
4.700000000000000178e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.494970165602769407e+00
4.800000000000000711e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.516817467228369853e+00
