time_s,x_m,y_m,theta_rad
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,-9.673733973499559768e-02
2.000000000000000111e-01,1.995324591340466580e-01,-9.658653049230539467e-03,-1.761822273202317546e-01
3.000000000000000444e-01,2.979844606739310287e-01,-2.718587167598607301e-02,-2.580842865087719096e-01
4.000000000000000222e-01,3.946725303949317198e-01,-5.270874717282045263e-02,-3.380081352192758626e-01
5.000000000000000000e-01,4.890142360031201618e-01,-8.586960637365992355e-02,-4.086012776081380249e-01
6.000000000000000888e-01,5.807819829320065574e-01,-1.256022204783958096e-01,-4.269874437852382854e-01
7.000000000000000666e-01,6.718037299168075904e-01,-1.670152809283898809e-01,-3.606571979838508746e-01
8.000000000000000444e-01,7.653702406835592997e-01,-2.023042035945090134e-01,-2.606571979838508968e-01
9.000000000000000222e-01,7.880723454759095414e-01,-2.083594309198538441e-01,-1.606571979838508912e-01
1.000000000000000000e+00,8.867845809404675261e-01,-2.243561283206359502e-01,-1.108051647714930199e-01
1.100000000000000089e+00,9.861713194917294256e-01,-2.354139846735451291e-01,-1.118861491079901349e-01
1.200000000000000178e+00,1.085546046231802730e+00,-2.465792700102172053e-01,-1.152320876764975771e-01
1.300000000000000044e+00,1.184882858858573584e+00,-2.580769940090705261e-01,-1.169921765756892357e-01
1.400000000000000133e+00,1.284199280611058258e+00,-2.697495417293659381e-01,-1.178198483208316161e-01
1.500000000000000000e+00,1.383506006848429948e+00,-2.815042867838100649e-01,-1.175770688265448394e-01
1.600000000000000089e+00,1.482815583362775858e+00,-2.932349217835458211e-01,-1.174723336274933055e-01
1.700000000000000178e+00,1.582126388686925678e+00,-3.049551555985128282e-01,-1.160332378717428975e-01
1.800000000000000044e+00,1.681453956961022733e+00,-3.165324594810411951e-01,-1.141547178771410570e-01
1.900000000000000133e+00,1.780803098924538697e+00,-3.279231543103087176e-01,-1.120956583973932441e-01
2.000000000000000000e+00,1.880175484693297205e+00,-3.391092593797699339e-01,-1.088050525089384046e-01
2.100000000000000089e+00,1.979584141452898294e+00,-3.499683091195872620e-01,-1.057472567736997826e-01
2.200000000000000178e+00,2.079025538175925725e+00,-3.605233371997725311e-01,-1.026618260367133662e-01
2.300000000000000266e+00,2.178499028123018100e+00,-3.707714959631728258e-01,-9.964777947398800739e-02
2.400000000000000355e+00,2.278002954697780691e+00,-3.807197909083873677e-01,-9.672498336434449950e-02
